Date,ABEV3.SA,BBAS3.SA,BBDC4.SA,BBSE3.SA,BPAC11.SA,BRKM5.SA,CMIG4.SA,CSAN3.SA,CSNA3.SA,ENEV3.SA,EQTL3.SA,GGBR4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SBSP3.SA,SUZB3.SA,TOTS3.SA,UGPA3.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2021-01-04,11.158726692199707,12.455721855163574,15.334024429321289,18.15709114074707,20.397350311279297,19.863750457763672,3.8411757946014404,17.6994571685791,22.04151725769043,15.632499694824219,19.627349853515625,13.942618370056152,19.64764976501465,17.2977237701416,28.341856002807617,8.302201271057129,14.936010360717773,22.039133071899414,18.18681526184082,57.60219192504883,36.10968780517578,51.444576263427734,25.773195266723633,8.949856758117676,52.85942459106445,16.863178253173828,33.14160919189453
2021-01-05,11.3966064453125,12.326491355895996,15.24052906036377,17.817302703857422,20.243953704833984,19.872257232666016,3.8411757946014404,17.755300521850586,22.44145393371582,15.742500305175781,19.670486450195312,14.279938697814941,19.520492553710938,17.178199768066406,28.066570281982422,8.626708984375,14.734333992004395,21.977495193481445,18.329275131225586,57.26225662231445,36.024845123291016,51.20878601074219,25.652502059936523,8.875646591186523,53.74946975708008,16.720020294189453,35.17576217651367
2021-01-06,11.627277374267578,12.608145713806152,15.745646476745605,17.52693748474121,19.59092140197754,20.64638900756836,3.9199557304382324,17.712860107421875,23.389680862426758,14.9350004196167,19.247743606567383,14.965289115905762,20.092756271362305,17.503570556640625,26.656524658203125,8.643937110900879,14.566603660583496,21.46680450439453,18.21531105041504,53.96487045288086,35.8466682434082,50.27438735961914,24.43625831604004,8.768041610717773,55.51222229003906,16.53281593322754,36.10844421386719
2021-01-07,11.569609642028809,13.108495712280273,16.16366958618164,17.89761734008789,19.715084075927734,21.156808853149414,3.876490831375122,18.403059005737305,24.853958129882812,14.925000190734863,18.833627700805664,15.816624641418457,20.87484359741211,18.43320083618164,27.36154556274414,8.902393341064453,14.782257080078125,21.19384765625,18.64267349243164,56.52289962768555,35.82121658325195,54.57089614868164,24.371273040771484,9.035201072692871,59.1359748840332,16.11435890197754,37.60075378417969
2021-01-08,11.915616989135742,13.184709548950195,16.024330139160156,18.453636169433594,20.33958625793457,21.003681182861328,4.142711162567139,18.37178611755371,25.002317428588867,15.619999885559082,19.420289993286133,15.581039428710938,20.86848258972168,19.18354034423828,28.939455032348633,8.93685531616211,14.866122245788574,21.81020164489746,18.994064331054688,60.338680267333984,37.009037017822266,54.82414627075195,25.996021270751953,9.268963813781738,58.95103454589844,16.53648567199707,39.87474060058594
2021-01-11,11.605650901794434,12.96932601928711,15.739837646484375,18.070600509643555,19.862934112548828,21.352468490600586,3.99873423576355,18.065776824951172,24.454025268554688,15.600000381469727,19.032058715820312,15.152688980102539,20.397960662841797,19.588594436645508,27.831560134887695,8.862190246582031,15.545031547546387,21.695735931396484,18.66166877746582,59.1658935546875,35.25276565551758,53.54043197631836,25.949602127075195,8.834831237792969,58.93947982788086,16.349281311035156,38.65335464477539
2021-01-12,12.110245704650879,13.088614463806152,15.72822380065918,18.1879825592041,20.039474487304688,21.36097526550293,3.982436180114746,18.521440505981445,24.563682556152344,16.27750015258789,19.032058715820312,14.735052108764648,20.46154022216797,19.714759826660156,28.133716583251953,8.79613971710205,15.27546501159668,22.083160400390625,19.64936065673828,60.40666580200195,35.37154769897461,53.4705696105957,26.61806869506836,8.771750450134277,57.32699966430664,16.3345947265625,40.003543853759766
2021-01-13,11.656111717224121,12.442466735839844,15.490184783935547,18.274477005004883,20.152019500732422,21.352468490600586,4.0177507400512695,18.919029235839844,23.383230209350586,16.875,19.316762924194336,14.247809410095215,20.124549865722656,19.176904678344727,27.797990798950195,8.371121406555176,15.870509147644043,22.083160400390625,19.658857345581055,60.38117980957031,35.83818435668945,52.396446228027344,26.55307960510254,8.704960823059082,55.6104736328125,16.371301651000977,40.09680938720703
2021-01-14,11.776849746704102,12.41264820098877,15.966269493103027,18.521595001220703,20.193946838378906,21.47156524658203,4.077513694763184,18.85202407836914,24.118595123291016,16.985000610351562,20.02420997619629,14.842144012451172,20.72223663330078,18.8714542388916,29.127466201782227,8.457277297973633,15.574984550476074,22.796369552612305,19.69684600830078,62.8287239074707,36.07575225830078,52.09952926635742,26.16313934326172,8.653013229370117,56.52363967895508,16.312572479248047,39.91472625732422
2021-01-15,11.552321434020996,12.028271675109863,15.52502155303955,18.132381439208984,19.774662017822266,21.437538146972656,3.985152244567871,18.19086265563965,22.164077758789062,16.704999923706055,20.153621673583984,13.96403694152832,19.940153121948242,19.18354034423828,28.926021575927734,8.075332641601562,14.83217716217041,22.928449630737305,20.143205642700195,60.09223175048828,36.10968780517578,53.40070724487305,26.04244613647461,8.415539741516113,54.067344665527344,16.400663375854492,38.266971588134766
2021-01-18,11.747878074645996,11.905669212341309,15.577274322509766,17.947040557861328,20.49627113342285,21.122779846191406,3.9199557304382324,18.365087509155273,22.60271644592285,16.71500015258789,19.72224998474121,14.16214370727539,19.838420867919922,19.449155807495117,28.959596633911133,8.060975074768066,14.544638633728027,23.73851203918457,19.8677921295166,60.075252532958984,35.46487045288086,55.26951599121094,26.738767623901367,8.27824592590332,54.506587982177734,16.195106506347656,40.95399475097656
